,PLAYERS,RATING,match_week
16,Zvonimir Durkinjak,16.008795349403872,20171017
967,Sun Feixiang,15.90041309904024,20171017
966,Saputra Vicky Angga,15.87894553927322,20171017
582,Abhinav Manota,15.863957477429068,20171017
795,Rudolf Dellenbach,15.84850892371474,20171017
774,Scott Evans,15.848482091963557,20171017
434,Lakhanee Sarang,15.820638157672128,20171017
566,Edwin Ekiring,15.77055530150933,20171017
348,Gu Mu Yeong,15.77055530150933,20171017
534,Kashyap Parupalli,15.638334935920579,20171017
954,Takuma Obayashi,15.479099617787783,20171017
335,Chu Han Chou,15.47442275508576,20171017
273,Kai Schaefer,15.441849992869702,20171017
468,Shih Kuei Chun,15.439639481571053,20171017
448,Anand Pawar,15.196734686932126,20171017
283,Angel Herrera Rodríguez,15.19123131778694,20171017
165,Anatoliy Yartsev,15.127368475239543,20171017
378,Mithun Manjunath,15.105771187983517,20171017
756,"Usman , Ayo Isiaq",15.095019136135459,20171017
725,Christopher Alexander Martinez Salvador,14.977223046708456,20171017
292,Robert Mann,14.959147233408737,20171017
893,Ha Young Woong,14.939643810618286,20171017
1167,K. Ajay Kumar,14.923315174190217,20171017
760,Daniel La Torre Regal,14.914183901966794,20171017
225,Cristian Araya,14.878473112519156,20171017
1284,Mahbub Thomi Azizan,14.85455494809972,20171017
142,Giovanni Greco,14.835758633697932,20171017
1141,Sachin Dias,14.826908508500313,20171017
605,Reksy Aureza Megananda,14.822466102819101,20171017
886,Matthew Carder,14.810564962834432,20171017
579,Gatjra Piliang Fiqihila Cupu,14.804601423265254,20171017
835,Andre Marteen,14.774803214749733,20171017
896,Jacob Nilsson,14.667101337720904,20171017
1165,Bernardo Atilano,14.659334638186554,20171017
683,Henri Aarnio,14.556874038415335,20171017
65,Emmanuel Yaw Donkor,14.551745386769621,20171017
1223,Firman Abdul Kholik,14.539016715800368,20171017
1161,Haruki Fukuda,14.405047138708639,20171017
1260,Ruben Castellanos,14.402000584250686,20171017
572,Zach Russ,14.353174633243192,20171017
836,Park Sung Min,14.353174633243192,20171017
1369,Sourabh Varma,14.35262825622851,20171017
266,Swarnaraj Bora,14.340719774448203,20171017
4,Diego Mini,14.276204499162128,20171017
321,Anuoluwapo Juwon Opeyori,14.272115544782675,20171017
861,Giovanni Toti,14.263867942080369,20171017
873,Wu Cheng-En,14.24963829471837,20171017
705,Wooi Yik Soh,14.106602532551218,20171017
428,Paul-Antoine Dostie-Guindon,14.040509577547539,20171017
208,Satheishtharan R.,13.903574310137378,20171017
1172,Zulhelmi Zulkiffli,13.772207863891277,20171017
342,Jhotiswaran Karupathevan,13.745742316851551,20171017
786,Chun-Wei Chen,13.636097800241837,20171017
445,Zhang Qi,13.576329590094076,20171017
410,Max Weisskirchen,13.561025043135512,20171017
1322,Seung Hoon Woo,13.528617554618727,20171017
399,Marius Myhre,13.52298448329934,20171017
19,Bodhit Joshi,13.395427536803176,20171017
287,Chong Wei Feng,13.390664111647327,20171017
533,Anton Kaisti,13.218885568174283,20171017
66,Kantawat Leelavechabutr,13.145175028719741,20171017
586,Pierrick Cajot,13.130491591041455,20171017
106,Siddharath Thakur,13.10194269865599,20171017
1230,Uriel Francisco Canjura Artiga,12.969506040904538,20171017
1146,Cheam June Wei,12.930643246603488,20171017
766,Christofel Karinda,12.84302281478687,20171017
823,Lars Schaenzler,12.766880808295545,20171017
885,Teerapat Keawan,12.722748650788397,20171017
1366,Anthony Mcnee,12.632944639286361,20171017
948,Cristian Savin,12.566822073124637,20171017
469,Jonathan Persson,12.565558116709923,20171017
1378,Hermansyah .,12.565558116709923,20171017
521,Neeraj Vashist,12.557357458377457,20171017
228,Artem Pochtarov,12.555836844350498,20171017
334,Daniel Chislov,12.530082887817695,20171017
952,Ansal Yadav,12.499911432705503,20171017
1174,Adi Pratama,12.443686438089873,20171017
383,Farzin Khanjani,12.425879213010749,20171017
643,Sergey Sirant,12.397722080353818,20171017
812,Alberto Alvin Yulianto,12.394438003539207,20171017
408,Mikkel Enghøj,12.383522720891289,20171017
1213,Kenneth Anglin,12.370193403454804,20171017
614,Kazuteru Kozai,12.269345835763382,20171017
608,Matej Hlinican,12.237611838216186,20171017
176,Romain Eudeline,12.235193217274265,20171017
203,Huang Guoxing,12.21575557276607,20171017
315,Satheishtharan Ramachandran,12.187173079024983,20171017
69,Georges Julien Paul,12.161985335160205,20171017
141,Aljallad Ahmad,12.013337149116763,20171017
1143,Chen Chi Ting,12.011181336830948,20171017
246,Joshua Magee,11.965471831630236,20171017
300,Pacharapol Nipornram,11.945878385216307,20171017
1076,Lai Yu-Hua,11.816190008756244,20171017
505,Noppanai Singrueang,11.790694359211502,20171017
1338,Toma Junior Popov,11.783037173555428,20171017
516,Kittipong Imnark,11.722337383981525,20171017
722,Adrian George,11.702792092496914,20171017
1012,Adulrach Namkul,11.682472792074513,20171017
397,Jacob Maliekal,11.667647778229226,20171017
429,Mohd Naser Mansour Nayef,11.654890279995168,20171017
994,Simon Wang,11.654414176516449,20171017
602,Androw Yunanto,11.551322370148267,20171017
1046,Sahil Sipani,11.293153202692519,20171017
950,William Cabrera,11.207966578700173,20171017
242,Ranthushka Sasindu,11.186570983659244,20171017
