,Country or Area Name,ISO ALPHA-3 Code,Coordinates
143,"Micronesia, Federated States of",FSM,"(158.22751848500002, 6.880382388000044)"
144,Moldova,MDA,"(28.46370618900005, 47.20102827100004)"
145,Monaco,MCO,"(7.424355000000048, 43.73170451200008)"
146,Mongolia,MNG,"(103.06763313100004, 46.83469147400007)"
147,Montenegro,MNE,"(19.25209946500007, 42.796154744000034)"
148,Montserrat,MSR,"(-62.18928012099997, 16.739171964000036)"
149,Morocco,MAR,"(-4.999999999999943, 32.00000000000006)"
150,Mozambique,MOZ,"(35.00000000000006, -18.249999999999943)"
151,Myanmar,MMR,"(96.51188637900003, 21.124949830000048)"
152,Namibia,NAM,"(17.22149898400005, -22.138976121999974)"
153,Nauru,NRU,"(166.9341949400001, -0.5285406929999681)"
154,Nepal,NPL,"(83.94416346900005, 28.25913770300008)"
155,Netherlands,NLD,"(5.616126398000063, 52.24937529300007)"
156,Netherlands Antilles,ANT,"(-85.38441999999998, 36.24451000000005)"
157,New Caledonia,NCL,"(165.70184184200002, -21.307791315999964)"
158,New Zealand,NZL,"(172.34343250000006, -42.28723356399996)"
159,Nicaragua,NIC,"(-85.00621251399997, 12.934455771000046)"
160,Niger,NER,"(9.401672665000035, 17.42088083400006)"
161,Nigeria,NGA,"(8.106777828000077, 9.593696882000074)"
162,Niue,NIU,"(-169.85845946899997, -19.052283097999975)"
163,Norfolk Island,NFK,"(167.95238196200012, -29.037111789999983)"
164,Northern Mariana Islands,MNP,"(145.75351048700009, 15.188824770000053)"
165,Norway,NOR,"(10.000000000000057, 62.00000000000006)"
166,Oman,OMN,"(56.10497815300005, 20.59793733300006)"
167,Pakistan,PAK,"(70.21010363900007, 30.314282999000056)"
168,Palau,PLW,"(134.511600068, 7.421479662000024)"
169,Palestinian Territory,PSE,"(35.20329000000004, 31.92157000000003)"
170,Panama,PAN,"(-79.97292613699994, 8.939604460000055)"
171,Papua New Guinea,PNG,"(145.253800898, -6.475589906999971)"
172,Paraguay,PRY,"(-58.41066601899996, -23.21981209599994)"
173,Peru,PER,"(-75.99999999999994, -9.999999999999943)"
174,Philippines,PHL,"(120.8616300000001, 14.164862797000069)"
175,Pitcairn,PCN,"(-128.32274295999997, -24.37686651699994)"
176,Poland,POL,"(19.39876898600005, 52.12379015400006)"
177,Portugal,PRT,"(-8.519812989999934, 39.59313904600003)"
178,Puerto Rico,PRI,"(-66.46895343099999, 18.22260649800006)"
179,Qatar,QAT,"(51.19314832400005, 25.285444965000067)"
180,Réunion,REU,"(55.53244445100006, -21.133187345999943)"
181,Romania,ROU,"(24.973472215000072, 45.845854975000066)"
182,Russian Federation,RUS,"(96.80537153400007, 61.989526183000066)"
183,Rwanda,RWA,"(29.956312610000055, -1.9983949569999595)"
184,Saint-Barthélemy,BLM,"(-62.82979691899993, 17.90280861100007)"
185,Saint Helena,SHN,"(-5.707392691999928, -15.96527132999995)"
186,Saint Kitts and Nevis,KNA,"(-62.765603845999976, 17.33971168900007)"
187,Saint Lucia,LCA,"(-60.967300455999975, 13.898639726000056)"
188,Saint-Martin (French part),MAF,"(1.6958043190082621, 50.557731078917925)"
189,Saint Pierre and Miquelon,SPM,"(-56.32282999999995, 46.85613316300004)"
190,Saint Vincent and Grenadines,VCT,"(-61.20075147199998, 13.201840619000052)"
191,Samoa,WSM,"(-172.44733321399997, -13.62080777999995)"
192,San Marino,SMR,"(12.463507795000055, 43.93817105200003)"
193,Sao Tome and Principe,STP,"(6.602059996000037, 0.2393107930000724)"
194,Saudi Arabia,SAU,"(44.548827060000065, 24.12136952900005)"
195,Senegal,SEN,"(-14.459259560999953, 14.363032568000051)"
196,Serbia,SRB,"(20.804550522000056, 44.02936463900005)"
197,Seychelles,SYC,"(55.46726211600003, -4.678652263999936)"
198,Sierra Leone,SLE,"(-11.792031778999956, 8.558037771000045)"
199,Singapore,SGP,"(103.81650913600004, 1.3534439970000562)"
200,Slovakia,SVK,"(19.48774912700003, 48.708702079000034)"
201,Slovenia,SVN,"(14.821760495000035, 46.119554805000064)"
202,Solomon Islands,SLB,"(160.1602896490001, -9.622803767999926)"
203,Somalia,SOM,"(46.20310500000005, 4.40461606100007)"
204,South Africa,ZAF,"(25.085049940000033, -28.997182287999976)"
205,South Georgia and the South Sandwich Islands,SGS,"(-36.90728999999993, -54.20362450499994)"
206,South Sudan,SSD,"(30.343765666000024, 7.263460914000063)"
207,Spain,ESP,"(-3.6460631049999392, 40.227949660000036)"
208,Sri Lanka,LKA,"(80.69863241800005, 7.617678409000064)"
209,Sudan,SDN,"(30.009189122000066, 16.053254132000063)"
210,Suriname,SUR,"(-56.01360780899995, 3.9317774090000626)"
211,Svalbard and Jan Mayen Islands,SJM,"(21.000000000000057, 79.00000000000006)"
212,Swaziland,SWZ,"(31.497967655000025, -26.564951763999943)"
213,Sweden,SWE,"(17.260487956000077, 64.71258554700006)"
214,Switzerland,CHE,"(8.245024096000066, 46.79981744200006)"
215,Syrian Arab Republic (Syria),SYR,"(38.50527333900004, 35.01280854600003)"
216,"Taiwan, Republic of China",TWN,"(120.95346396100001, 23.752816021000058)"
217,Tajikistan,TJK,"(71.00000000000006, 39.00000000000006)"
218,"Tanzania, United Republic of",TZA,"(34.995322712000075, -6.438400132999959)"
219,Thailand,THA,"(101.01223920600006, 15.11680278700004)"
220,Timor-Leste,TLS,"(125.85392670100009, -8.82624399399998)"
221,Togo,TGO,"(0.9744440640000676, 8.539049810000051)"
222,Tokelau,TKL,"(-171.21984997299998, -9.374827015999927)"
223,Tonga,TON,"(-175.27562999999998, -21.158658678999927)"
224,Trinidad and Tobago,TTO,"(-61.26048813699998, 10.47267427600002)"
225,Tunisia,TUN,"(9.60851649600005, 34.11631798800005)"
226,Turkey,TUR,"(35.142286272000035, 39.066250645000025)"
227,Turkmenistan,TKM,"(59.17525293600005, 39.19335818400003)"
228,Turks and Caicos Islands,TCA,"(-71.82311799799999, 21.758132630000034)"
229,Tuvalu,TUV,"(178.67158000000006, -7.47055919099995)"
230,Uganda,UGA,"(32.335706651000066, 1.513805689000037)"
231,Ukraine,UKR,"(31.374926053000024, 49.02689837500003)"
232,United Arab Emirates,ARE,"(54.32685818400006, 23.914869621000037)"
233,United Kingdom,GBR,"(-1.9695595439999352, 53.40838660500003)"
234,United States of America,USA,"(-99.41461918999994, 39.39870315600007)"
235,US Minor Outlying Islands,UMI,"(-162.07479499999997, 5.875525703000051)"
236,Uruguay,URY,"(-56.02075792399995, -32.79326568999994)"
237,Uzbekistan,UZB,"(63.42188301400006, 41.58134563700003)"
238,Vanuatu,VUT,"(166.8727570740001, -15.241355872999975)"
239,Venezuela (Bolivarian Republic),VEN,"(-66.16282028899997, 7.120733800000039)"
240,Viet Nam,VNM,"(107.83333000000005, 16.166670000000067)"
241,"Virgin Islands, US",VIR,"(-64.81908749999997, 17.728114454000035)"
242,Wallis and Futuna Islands,WLF,"(-176.20444988799997, -13.28501745799997)"
243,Western Sahara,ESH,"(-13.13948587699997, 24.658502978000058)"
244,Yemen,YEM,"(47.59395262500004, 15.905205994000028)"
245,Zambia,ZMB,"(28.76797288100005, -14.46880366299996)"
246,Zimbabwe,ZWE,"(29.884276749000037, -19.016205470999978)"
